category_id,category_name,item_id,item_name,item_name_en,item_name_ar,description,price,loyalty_points_price,calories,currency,currency_iso,image_url,out_of_stock,favourite,has_modifiers,walk_time,caffeine,has_sodium,tags,max_order_quantity,item_remaining_quantity
11114,What's New?,7771064,Dip & Crunch Meal,Dip & Crunch Meal,تغمس تقرمش وجبة,"8 Pieces of chicken shawarma with Mutawam sauce and our new flavour of Raj Raj Zantoot with smoked sauce, and with Toumkazbar sauce and crunch bread dip. Served with soft drink.",37.0,370.0,1725,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/21zc4926ggnsmkk0c5gjxwqizydx,False,False,True,0,0.0,False,New,10000,10000
11114,What's New?,7771063,Dip & Crunch,Dip & Crunch,تغمس تقرمش,"8 Pieces of chicken shawarma with Mutawam sauce and our new flavour of Raj Raj Zantoot with smoked sauce, and with Toumkazbar sauce and crunch bread dip.",30.0,300.0,1575,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/3yeijonwywob15f6zb6mfqh8rm3p,False,False,True,0,0.0,False,New,10000,10000
2114,Shawarma,11006,Abo Alsawarikh,Abo Alsawarikh,أبو الصواريخ,"Large chicken shawarma with mutawam sauce, pickles, and Fries.",15.0,150.0,619,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/5p91jcu2927rc7vzcf22zdg1by8e,False,False,True,0,0.0,False,,40,40
2114,Shawarma,11005,Saji,Saji,صاجي,"Chicken shawarma in saji bread with fries, pickles, and mutawam sauce.

",8.0,80.0,408,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/45665c0pvolt8zly4ssy7b775paf,False,False,True,0,0.0,False,,10000,10000
2114,Shawarma,11003,Arabi,Arabi,عربي,"Chicken shawarma in arabic bread with fries, pickles, and mutawam sauce.",7.0,70.0,432,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/nlxsq5w250qwfk1hgt7eto2oqyjp,False,False,True,0,0.0,False,,10000,10000
2114,Shawarma,11002,Mafloqah,Mafloqah,مفلوقة,"Chicken shawarma in one slice of arabic bread with fries, pickles, and mutawam sauce.",6.0,60.0,356,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/poah9n3t0zbdjkkeeu413pfaeize,False,False,True,0,0.0,False,,10000,10000
2114,Shawarma,11001,Garsa,Garsa,قرصة,"Chicken shawarma in garsan bread with fries, pickles, and mutawam sauce.

",5.0,50.0,203,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/51eftal1rso3qk08v84mp41c7apn,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7771003,Alrahiyah Meal,Alrahiyah Meal,الراهية وجبة,"Largest chicken shawarma with potato cubes, lettuce, pickles, and mutawam sauce mixed with abu khalta sauce, served with fries and a soft drink.",32.0,320.0,1526,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/l3gk6jfqug3akqbpfgvvx0qoj7se,False,False,True,0,0.0,False,,10000,10000
5114,Signature,13001,Alrahiyah,Alrahiyah,الراهية,"Largest chicken shawarma with potato cubes, lettuce, pickles, and mutawam sauce mixed with abu khalta sauce.

(The offer is valid for one day only Sunday 17/8/2025)
",25.0,250.0,1154,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/tbzfun5gclkxwp67qec6zuzzay3n,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7771005,Nahyfat Meal,Nahyfat Meal,نحيفات وجبة,"3 Chicken toasted shawarma with mutawam sauce, served with fries and a soft drink.",27.0,270.0,1106,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/dt9khj92jidp57jyp7zt6gpcdrjc,False,False,True,0,0.0,False,,10000,10000
5114,Signature,12001,Nahyfat,Nahyfat,نحيفات,3 Chicken toasted shawarma with mutawam sauce.,20.0,200.0,734,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/4hbqs2z3qtld1yikt00w0q806e7f,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7773096,Siiiiiii Meal,Siiiiiii Meal,سييييييي وجبة,"Created by Faris: Large chicken shawarma with spicy fries, toasted bread, crunchy onion, pickles, Abo Khalta sauce and Toumkazbar sauce, served with french fries and a soft drink.",31.0,310.0,1709,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/z0v8036reveutlodcvswbwmepr4g,False,False,True,0,0.0,False,,10000,10000
5114,Signature,887001,Siiiiiii,Siiiiiii,سييييييي,"Created by Faris: Large chicken shawarma with spicy fries, toasted bread, crunchy onion, pickles, Abo Khalta sauce and Toumkazbar sauce.",24.0,240.0,1337,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/zwzos8mxw5czuvyxoysp34pg3q7j,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7771004,Shat'shaweesh Meal,Shat'shaweesh Meal,شطشويش وجبة,Large chicken shawarma with toumnar sauce and jalapeno served with fries and a soft drink.,28.0,280.0,1175,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/k228ne5j541pvjn5jvrczrfdy7b3,False,False,True,0,0.0,False,,10000,10000
5114,Signature,13002,Shat'shaweesh,Shat'shaweesh,شطشويش,Large chicken shawarma with toumnar sauce and jalapeno.,21.0,210.0,803,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/tsdyl3xueg1x6k163ersgfi7q8e3,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7771006,Tannouri Meal,Tannouri Meal,تنوري وجبة,"Large chicken shawarma with mutawam sauce and toumkazbar sauce with lettuce, tomato, and pickles, served with fries and a soft drink.",26.0,260.0,1086,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/stce2hrrpqt9c3vw9t8lf1c5ujnn,False,False,True,0,0.0,False,,10000,10000
5114,Signature,13003,Tannouri,Tannouri,تنوري,"Large chicken shawarma with mutawam sauce and toumkazbar sauce with lettuce, tomato, and pickles.

",19.0,190.0,714,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/mu435adebg3thvtwmewmdsiwf0g3,False,False,True,0,0.0,False,,10000,10000
5114,Signature,7771007,Abu Khalta Meal ,Abu Khalta Meal ,أبو خلطة وجبة,"Large chicken shawarma with Abo Khalta sauce, pickles and fries, served with fries and a soft drink.",28.0,280.0,1195,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/eanrri0e28ch7cwxiv0w4fmqvbe0,False,False,True,0,0.0,False,,10000,10000
5114,Signature,13004,Abo Khalta,Abo Khalta,أبو خلطة,"Large chicken shawarma with Abo Khalta sauce, pickles, and fries.",21.0,210.0,823,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/t72e37i1436jwhug4ximcnxi6u5q,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771002,Arabo chicken Double Meal,Arabo chicken Double Meal,دبل عربو دجاج وجبة,"12 Pieces of chicken shawarma with mutawam sauce and deepsi sauce with a side of fries and dipping sauces mutawam sauce, and toumnar sauce, served with fries and a soft drink.",48.0,480.0,2314,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/4oqkbagbofdya6jgtnvp8k4b930q,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771016,Arabo chicken Double Box,Arabo chicken Double Box,دبل عربو دجاج بوكس,"12 Pieces of chicken shawarma with mutawam sauce and deepsi sauce with a side of fries and dipping sauces mutawam sauce, and toumnar sauce.",41.0,410.0,2164,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/kd8bnka3e6npeoneapq58jyum40s,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771001,Arabo chicken Meal,Arabo chicken Meal,عربو دجاج وجبة,"6 Pieces of chicken shawarma with mutawam sauce and deepsi sauce with a side of fries and dipping sauces mutawam sauce, and toumnar sauce, served with fries and a soft drink.",30.0,300.0,1462,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/a47uwditgyn61q9784benr4busnw,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771015,Arabo chicken Box,Arabo chicken Box,عربو دجاج بوكس,"6 Pieces of chicken shawarma with mutawam sauce and deepsi sauce with a side of fries and dipping sauces mutawam sauce, and toumnar sauce.",23.0,230.0,1312,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/ixwhzgmoz11rfkah89y1h5opaldx,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771038,Alsandouk Meal,Alsandouk Meal,الصندوق وجبة,"8 Pieces of chicken shawarma with Mutawam sauce with a side of Raj Raj Zantoot, Mutawam sauce and Toumnar sauce, Served with a soft drink.",37.0,370.0,1601,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/cb89yp5z7xo145w2urregld7u0o9,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7771037,Alsandouk,Alsandouk,الصندوق,"8 Pieces of chicken shawarma with Mutawam sauce with a side of Raj Raj Zantoot, Mutawam sauce and Toumnar sauce.",30.0,300.0,1451,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/imfmqvrhvd8xnahr37slkkq7e74r,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7773127,D7oomy999 Meal,D7oomy999 Meal,دحومي999 وجبة,"Created by D7oomy999: 2 pieces of chicken shawarma with cheddar cheese, toumkazbar sauce, fries, modakhan sauce and mixed salad in saj bread serving with french fries and soft drink.",31.0,310.0,1225,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/qaztx9vq6b73plgwgc89g3ga078s,False,False,True,0,0.0,False,,10000,10000
4114,Boxes,7773129,D7oomy999,D7oomy999,دحومي999,"Created by D7oomy999: 2 pieces of chicken shawarma with cheddar cheese, toumkazbar sauce, fries, modakhan sauce and mixed salad in saj bread serving with a side of french fries.",24.0,240.0,1174,SR,SR,https://blobmobileapp.blob.core.windows.net/shawarmer-prod/u1lez0071zh2tam04lwepqen2azh,False,False,True,0,0.0,False,,10000,10000
